Timeframe,Ativo,Linhas_Original,Linhas_Final,Linhas_Removidas,Status_Final,Nulos_Corrigidos,Erros_OHLC_Corrigidos
01,EUSTX50-F,105333,105333,0,✅ OK,0,0
01,EUSTX50,105333,105333,0,✅ OK,0,0
01,FRA40-F,105333,105333,0,✅ OK,0,0
01,FRA40,105333,105333,0,✅ OK,0,0
01,GBPAUD,105333,105333,0,✅ OK,0,0
01,GBPCAD,105333,105333,0,✅ OK,0,0
01,GBPCHF,105333,105333,0,✅ OK,0,0
01,GBPNZD,105333,105333,0,✅ OK,0,0
01,GBPUSD,105333,105333,0,✅ OK,0,0
01,GER40-F,105333,105333,0,✅ OK,0,0
01,GER40,105333,105333,0,✅ OK,0,0
01,HK50-F,105333,105333,0,✅ OK,0,0
01,HK50,105333,105333,0,✅ OK,0,0
01,JPN225-F,105333,105333,0,✅ OK,0,0
01,JPN225,105333,105333,0,✅ OK,0,0
01,LTCUSD,105333,105333,0,✅ OK,0,0
