expert,key,symbol,timeframe,model,accuracy,precision,recall,f1,auc,n_samples,sharpe,max_drawdown,win_rate,total_return,n_predictions,n_windows
gap_expert,xgboost_EURUSD_M15,EURUSD,M15,xgboost,0.8118569328760411,0.0,0.0,0.0,0.5,6123,0.0,0.0,0.0,0.0,6123,3
gap_expert,xgboost_EURUSD_M30,EURUSD,M30,xgboost,0.8218954248366013,0.0,0.0,0.0,0.5,3060,0.0,0.0,0.0,0.0,3060,3
gap_expert,xgboost_EURUSD_H1,EURUSD,H1,xgboost,0.6673215455140799,0.0,0.0,0.0,0.5,1527,0.0,0.0,0.0,0.0,1527,3
gap_expert,xgboost_EURUSD_H4,EURUSD,H4,xgboost,0.6024096385542169,0.35714285714285715,0.10989010989010989,0.16806722689075632,0.4979830296285993,249,0.2971768970601713,-0.5675675072651246,0.5,0.0040191050277536,249,3
gap_expert,xgboost_GOLD_M15,GOLD,M15,xgboost,0.5236111111111111,0.5291666666666667,0.3557422969187675,0.42546063651591287,0.5222237655392736,720,0.30248888308352473,-395911661.36445975,0.5125,0.03285931413873433,720,3
gap_expert,xgboost_GOLD_M5,GOLD,M5,xgboost,0.7654512988883129,0.0,0.0,0.0,0.5,17361,0.0,0.0,0.0,0.0,17361,3
gap_expert,xgboost_GOLD_M30,GOLD,M30,xgboost,0.4909560723514212,0.4909560723514212,1.0,0.658578856152513,0.5,387,0.005270190409718962,-47004751.634012185,0.5518134715025906,-0.001649361332915933,387,3
gap_expert,xgboost_GOLD_H1,GOLD,H1,xgboost,0.49099099099099097,0.49099099099099097,1.0,0.6586102719033232,0.5,222,-0.08952740649410096,-2.762764713035386,0.5203619909502263,-0.013774505642008217,222,3
gap_expert,xgboost_GOLD_H4,GOLD,H4,xgboost,0.5757575757575758,0.5757575757575758,1.0,0.7307692307692307,0.5,99,-0.26255862120308865,-29976986.17203337,0.5,-0.0429139046794782,99,3
gap_expert,lightgbm_EURUSD_M15,EURUSD,M15,lightgbm,0.8118569328760411,0.0,0.0,0.0,0.5,6123,0.0,0.0,0.0,0.0,6123,3
